Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,S,S2,S3,S4
2309,Orphaned Land,"Doom/Death/Middle Eastern Folk Metal (early), Middle Eastern Folk/Progressive Metal (later)","Israel",Active,1,13.5384615384615,1,0.855297929235309,1,7.26923076923077,5.13125315589895,6.21735802405667,0.855297929235309
129795,Amaseffer,"Progressive/Folk Metal","Israel",Active,1,1,0.316129032258064,0.414929126335629,0.5,0.329032258064516,0.288509693098949,0.136525067374949,0.0655855715820833
162,Sentenced,"Death Metal (early), Melodic Death Metal (mid), Gothic Metal (later)","Finland",Split-up,0.784206943498979,0.923076923076923,0.120390455531453,0.623524246872137,0.5,0.204573590904842,0.217877734576078,0.12755659419887,0.0375331840579215
3540429071,Scardust,"Symphonic Progressive Metal","Israel",Active,0.388663967611336,0.384615384615385,0.923497267759563,0.827031473382567,0.5,0.127104063388659,0.138308931223159,0.105119060817234,0.381880653009983
1,Amorphis,"Progressive/Death/Doom Metal (early), Melodic Heavy Metal/Rock (later)","Finland",Active,0.364672364672365,0.615384615384615,0.209550118389897,0.855297929235309,0.5,0.0752077250164798,0.102122403069923,0.0643250114690938,0.0896138911649466
3540263990,Aspherium,"Melodic Death Metal/Metalcore","Norway",Active,0.243448858833474,0.230769230769231,0.930288461538462,0.87961747429865,0.5,0.0706645425580337,0.0828000067600207,0.062157766447367,0.409148993453819
3540405193,Somnia,"Symphonic/Progressive Metal","Israel",Changed name,0.399168399168399,0.384615384615385,1,0.757799595527554,0.5,0.0690868383176075,0.0712653631648379,0.0523539781333605,0.189449898881888
3540412683,Sinsaenum,"Black/Death Metal","International",Active,0.234432234432234,0.230769230769231,0.681742043551089,0.855297929235309,0.5,0.0534805142458795,0.0690719102732358,0.0457417730889402,0.291546279060947
38,Opeth,"Progressive Death Metal, Progressive Rock","Sweden",Active,0.189349112426035,0.307692307692308,0.229640870005058,0.87961747429865,0.75,0.0381538351027715,0.0670745870767345,0.0335607800679071,0.151497091552195
157,Kreator,"Thrash Metal","Germany",Active,0.208017334777898,0.384615384615385,0.304202801867912,0.87961747429865,0.5,0.0358215308247001,0.054376967654412,0.031509244469534,0.133791050126813
3540352291,Arsenic Addiction,"Gothic Metal","United States",Active,0.155465587044534,0.153846153846154,0.953086419753086,0.87961747429865,0.5,0.0430224805933308,0.0514733615649656,0.0378433257175683,0.419175734665776
13991,Eluveitie,"Folk/Melodic Death Metal, Folk","Switzerland",Active,0.147201635573729,0.230769230769231,0.281746031746032,0.87961747429865,0.75,0.0282911568370296,0.0512310539486847,0.0248853959219749,0.185871549628584
106322,Leprous,"Progressive Metal/Rock","Norway",Active,0.210989010989011,0.230769230769231,0.344709897610922,0.87961747429865,0.5,0.0303549430354366,0.0511682321821117,0.0267007383253101,0.151606424751132
6591,Helevorn,"Doom/Gothic Metal","Spain",Active,0.144090056285178,0.153846153846154,0.367601246105919,0.87961747429865,0.75,0.0281757694533203,0.0504698791474932,0.0247838991629506,0.242511359736544
89420,Legenda Aurea,"Symphonic Power Metal","Switzerland",Active,0.157959687371452,0.153846153846154,0.946022727272727,0.794569598082554,0.5,0.0434337361527818,0.0498741516531846,0.0345111262781395,0.375840449093026
8192,Noctiferia,"Melodic Black Metal/Symphonic Black/Death Metal (early), Industrial Metal (later)","Slovenia",Active,0.141332351858668,0.153846153846154,0.635514018691589,0.794569598082554,0.625,0.0348631655151009,0.0466376082626513,0.0277012114112193,0.315600074004753
59585,Method,"Thrash/Melodic Death Metal","Korea, South",Active,0.154651631091422,0.153846153846154,0.772994129158513,0.87961747429865,0.5,0.0358343403819766,0.0465619397774516,0.0315205119799524,0.339969571769048
2289,DragonForce,"Power Metal","United Kingdom",Active,0.249269717624148,0.307692307692308,0.265342960288809,0.87961747429865,0.375,0.026782563644687,0.0452627923592527,0.0235584109883824,0.0875251142070633
547,Pain of Salvation,"Progressive Rock/Metal","Sweden",Active,0.118153846153846,0.153846153846154,0.517391304347826,0.827031473382567,0.75,0.0297409827630563,0.0442565592096457,0.024596728794376,0.320924169562583
3540361522,Distorted Harmony,"Progressive Metal/Rock","Israel",Active,0.233198380566802,0.230769230769231,0.895604395604396,0.855297929235309,0.5,0.0328335631979357,0.0385102164652749,0.028082478612611,0.19150214624362
105456,Myrath,"Progressive Metal with Middle Eastern Folk influences","Tunisia",Active,0.136121942573555,0.153846153846154,0.619047619047619,0.87961747429865,0.5,0.0263019504423262,0.0374905068487469,0.0231356552172072,0.27226255156863
54764,Bloodbound,"Heavy/Power Metal","Sweden",Active,0.137388193202147,0.153846153846154,0.566068515497553,0.87961747429865,0.5,0.0247269439202132,0.03662613853063,0.0217502519582223,0.248961878940972
334,Exhorder,"Thrash/Groove Metal","United States",Active,0.135497529992943,0.153846153846154,0.564285714285714,0.87961747429865,0.5,0.0243262735852715,0.0360818482411973,0.0213978153301744,0.248177787391405
3540337897,Xanthochroid,"Epic/Melodic Black Metal","United States",Active,0.0757396449704142,0.0769230769230769,0.96969696969697,0.855297929235309,0.75,0.0297264865312203,0.0360126480635334,0.025425002373594,0.62203485762568
3540315259,Soul Enema,"Melodic Progressive Metal/Rock","Israel",Active,0.220436280137773,0.230769230769231,0.89544235924933,0.827031473382567,0.5,0.0310322366939672,0.0358804695917544,0.0256646364353683,0.185139753424784
3540378381,ShadowStrike,"Symphonic Power Metal","United States",Active,0.163195920101997,0.153846153846154,0.990853658536585,0.87961747429865,0.625,0.0291891154878727,0.0344125335602446,0.0256752560424541,0.272366310162977
3540261444,Qantice,"Symphonic Power Metal","France",Active,0.215085884988798,0.230769230769231,0.770554493307839,0.87961747429865,0.5,0.0269213249191744,0.0337136585220443,0.0236804678301775,0.169448299303229
18938,Witchcraft,"Doom Metal/Psychedelic Hard Rock","Sweden",Active,0.218264494126563,0.230769230769231,0.826086956521739,0.794569598082554,0.5,0.028834272635449,0.0336750427047856,0.0229108364189515,0.16409589525618
18930,Winterhorde,"Melodic Black Metal","Israel",Active,0.141332351858668,0.153846153846154,0.441591784338896,0.794569598082554,0.5,0.0210386610473923,0.0327421723669954,0.0167166804526215,0.175437703299357
61,Moonspell,"Black Metal (early), Gothic Metal (later)","Portugal",Active,0.15019556714472,0.230769230769231,0.171615720524017,0.87961747429865,0.5,0.0151091089924975,0.0320918468987802,0.0132902362908836,0.0754780933186396
3540357240,Ostura,"Symphonic Heavy/Power Metal","Lebanon",Active,0.0710059171597633,0.0769230769230769,0.811881188118812,0.855297929235309,0.75,0.0236663857555533,0.030960393981252,0.0202418107292087,0.520800224237342
43756,Pathosray,"Progressive Metal","Italy",On hold,0.153846153846154,0.153846153846154,0.556451612903226,0.467151022118185,0.5,0.0273191448749761,0.0301909945863478,0.0127621664517399,0.129973469863527
3540403076,Waken Eyes,"Progressive Metal","International",Active,0.157959687371452,0.153846153846154,0.228013029315961,0.757799595527554,0.5,0.0150795892980514,0.0300033573986585,0.011427306670785,0.0863940906953237
3540397034,Melted Space,"Ambient (early), Symphonic Metal (later)","France",Active,0.107412587412587,0.153846153846154,0.0968468468468468,0.855297929235309,0.75,0.0100978439439978,0.0296993368596134,0.00863666501504262,0.062124680670808
12613,Swallow the Sun,"Melodic Doom/Death Metal","Finland",Active,0.246153846153846,0.307692307692308,0.221439355812783,0.87961747429865,0.5,0.0162809742616951,0.0288974182113588,0.0143210294591936,0.0486954817175901
28017,Orion's Reign,"Symphonic Power Metal","Greece",Active,0.146957520091848,0.153846153846154,0.524409448818898,0.87961747429865,0.375,0.0186890177542609,0.0286176455010554,0.0164391865941256,0.17297989307566
121477,Kypck,"Doom Metal","Finland",Active,0.157959687371452,0.153846153846154,0.134146341463415,0.794569598082554,0.5,0.011372801131106,0.0285001949720674,0.00903648202381567,0.0532943023104152
3540320448,Otivm,"Progressive Death Metal","Italy",Active,0.0811496196111581,0.0769230769230769,0.993788819875776,0.57260664193259,0.625,0.0271524572307402,0.0277822238162543,0.0155476773551124,0.355656299337012
26,Soilwork,"Melodic Death Metal (early), Metalcore/Melodic Groove Metal (later)","Sweden",Active,0.289592760180996,0.384615384615385,0.267922553636839,0.87961747429865,0.375,0.0177159621244948,0.0277313196841787,0.0155832698587186,0.0441880049883152
3540361823,Iapetus,"Melodic/Progressive Extreme Metal","United States",Active,0.155465587044534,0.153846153846154,0.389776357827476,0.87961747429865,0.375,0.0158464861702435,0.0276581049905544,0.013938846141578,0.128570285780074
35672,Xenophobia,"Thrash/Death Metal","Slovenia",Split-up,0.233198380566802,0.230769230769231,0.431372549019608,0.0189224552069325,0.5,0.0386025976880942,0.0264705127771636,0.000730455925624198,0.00408131386816191
3540390914,Piah Mater,"Progressive Death Metal","Brazil",Active,0.0807061790668348,0.0769230769230769,0.990909090909091,0.855297929235309,0.5,0.0215451635375973,0.0258680803304579,0.0184275337587431,0.423761246757494
3540427266,Seraphic,"Symphonic Metal","Australia",Active,0.0811496196111581,0.0769230769230769,0.996884735202492,0.827031473382567,0.5,0.02178477387237,0.0257087308268218,0.0180166936329722,0.412227525673554
3540388524,Talvienkeli,"Symphonic Metal","France",Active,0.0807061790668348,0.0769230769230769,0.973214285714286,0.827031473382567,0.5,0.0211881435084462,0.0252498540364177,0.0175232615440315,0.402439422315624
3540409320,Hiranya,"Melodic Death Metal/Metalcore","Spain",Active,0.0811496196111581,0.0769230769230769,0.907042253521127,0.87961747429865,0.5,0.0199621030690286,0.0252048392864629,0.0175590146832683,0.398925108062204
538,Angra,"Power/Progressive Metal","Brazil",Active,0.172739541160594,0.307692307692308,0.23535510627268,0.855297929235309,0.625,0.0146571501744936,0.0251614096842159,0.0125362301927353,0.0629058546968686
3540363892,Frozen Hell,"Melodic Death Metal","Italy",Active,0.0811496196111581,0.0769230769230769,0.975609756097561,0.794569598082554,0.5,0.0213531597569698,0.0249819432778116,0.0169665715658881,0.387594925893929
3540417879,Angry Nation,"Thrash/Death Metal","Austria",Active,0.0807061790668348,0.0769230769230769,0.919540229885057,0.855297929235309,0.5,0.0201051865181969,0.0249080956508576,0.0171959243959035,0.393240427234625
3540329777,Purest of Pain,"Melodic Death Metal/Metalcore/Deathcore","Netherlands",Active,0.078979843685726,0.0769230769230769,0.952380952380952,0.855297929235309,0.5,0.0203235678348801,0.0248075946825417,0.0173827054838462,0.40728472820729
3540430852,This Misery Garden,"Gothic Metal/Rock","Switzerland",Active,0.0802675585284281,0.0769230769230769,0.946745562130177,0.827031473382567,0.5,0.0205418455997309,0.0247585299322518,0.0169887528323426,0.391494188583464
3666,Draconian,"Gothic/Doom/Death Metal","Sweden",Active,0.133056133056133,0.153846153846154,0.201173959445037,0.757799595527554,0.5,0.011809400857919,0.024677914540679,0.0089491591935538,0.0762247725490629
3540412466,Here and Now,"Melodic Death Metal/Metalcore","Bulgaria",Active,0.0798336798336798,0.0769230769230769,0.972644376899696,0.794569598082554,0.5,0.0209477080180845,0.024537374495206,0.01664441194068,0.386416825815224
3540383465,Seventh Seal,"Progressive Metal/Rock","United States",Active,0.0798336798336798,0.0769230769230769,0.93841642228739,0.827031473382567,0.5,0.0202645721256143,0.0245138757268096,0.0167594389425141,0.388049958185369
3540346184,Headspace,"Progressive Rock/Metal","United Kingdom",Active,0.0807061790668348,0.0769230769230769,0.936046511627907,0.794569598082554,0.5,0.0204382262507134,0.0243132635444612,0.0162395932175497,0.371877050265381
128872,Turbid North,"Death/Groove Metal","United States",Active,0.0807061790668348,0.0769230769230769,0.960960960960961,0.757799595527554,0.5,0.0209409137530197,0.0241537941442501,0.0158690159720157,0.364107913766993
3540381417,False Coda,"Progressive Metal","Greece",Active,0.0794044665012407,0.0769230769230769,0.93841642228739,0.794569598082554,0.5,0.020155622813111,0.0239524777143824,0.0160150451177172,0.37281857974548
604,Fates Warning,"Power/Progressive Metal (early), Progressive Metal (later)","United States",Active,0.107804604154969,0.153846153846154,0.323223570190641,0.855297929235309,0.5,0.0128575781885268,0.0239392279083141,0.010997059999628,0.13822622513205
3540311693,James LaBrie,"Progressive Metal, Melodic Heavy/Groove Metal","Canada",Active,0.20231822971549,0.230769230769231,0.429710867397807,0.757799595527554,0.5,0.0167033955279335,0.0239119864058098,0.0126578263750048,0.081408680376963
89033,Be'lakor,"Melodic Death Metal","Australia",Active,0.0757396449704142,0.0769230769230769,0.633009708737864,0.794569598082554,0.625,0.0168031428558803,0.0237396825837238,0.0133512664655205,0.314356418658874
6039,Infernal Tenebra,"Black Metal (early), Progressive Melodic Death Metal (later)","Croatia",Active,0.0773258155457108,0.0769230769230769,0.963855421686747,0.794569598082554,0.5,0.0201197615518613,0.023653298064501,0.0159865508497792,0.382925107509664
3540384905,In White,"Alternative Metal (early), Melodic Death Metal (Later)","Turkey",Active,0.0815979600509987,0.0769230769230769,0.932944606413994,0.716793939542471,0.5,0.0206007857204332,0.0234820110208863,0.0147665183542196,0.334364519903194
3540354561,Icestorm,"Epic Heavy Metal","Spain",Active,0.0761300555114988,0.0769230769230769,0.886178861788618,0.87961747429865,0.5,0.0183302510143384,0.0233810552007657,0.0161236091004926,0.389749206091678
11560,Disillusion,"Melodic Death/Progressive Metal","Germany",Active,0.0668290985033067,0.0769230769230769,0.722222222222222,0.87961747429865,0.625,0.0166894249734486,0.0233729589062854,0.0146803098426417,0.397049554370918
3540361512,Divinity Compromised,"Melodic Progressive Metal","United States",Active,0.0798336798336798,0.0769230769230769,0.849206349206349,0.827031473382567,0.5,0.0184840800225416,0.0233268809914278,0.0152869159351638,0.351160189094979
3540352438,Shemhamforash,"Death/Black Metal","Mexico",Active,0.0811496196111581,0.0769230769230769,0.846153846153846,0.794569598082554,0.5,0.0187268352948826,0.0232310603030868,0.0148797739936131,0.336164060727234
10,Arch Enemy,"Melodic Death Metal","Sweden",Active,0.109401709401709,0.153846153846154,0.236441194393662,0.87961747429865,0.5,0.010674525763824,0.0231549597271971,0.00938949939171076,0.103988903116355
3540369803,Avatarium,"Doom Metal","Sweden",Active,0.0716952949962659,0.0769230769230769,0.590106007067138,0.87961747429865,0.625,0.0149446396711773,0.0231015169273915,0.0131455662018644,0.324417222190536
